id,content,sentiment
37,الكمبيوتر يشتغل ويعيد التشغيل في كل مره ولا يكمل الخطوات للتشغيل منتج سيئ جدا جدا جدا,N
38,جهاز خفيف وصغير وسهل التنقل ومفيد ببرامج الاوفيس وتصفح الانترنت,P
39,يمشي الحال بس وهو يشحن يسخن واذا طولت شغال عليه برضو يسخن ومره يعلق مدري من الشبكه او منه,N
40,مررره حلو بس ما يصلح يكون مكان الهالات السوداء لانه يزودها ويحرق العين بس انه مررره حلوووو واللون الأزرق احلى منه بشويه,P
41,مره حلو للبشره الدهنيه,P
42,انصحكم فيه ممتاز وسعره مناسب,P
43,حلو ولطيف على البشرة,P
44,يستخدم اجميع انواع البشرة كريم رااااائع للترطيب,P
45,"جهاز جميل وخفيف الوزن ومتحول, يستحق الشراء",P
46,المنتج غير مفيد كثيرا,N
47,منتج جيد وجميل يستحق التجربه ضروري يكون عند كل واحده تحب تهتم ببشرتها يصفي البشره ويشد ويشيل الخطوط الرفيعه وينعم البشرة ومناسب لجميع انواع البشرات ,P
48,يجنننننننننننننننن يخلي الوجه ناعم,P
49,عجبني المنتج لانه اصلي ويعمل على شد وتألق فوري للبشرة,P
50,اصلي,P
51,يستاهل عشر نجوووم شوي عليه كلمة رووعه صفاء ونظاررة بس حجم القنينه صغيررر جدا,P
52,لم يناسب بشرتي ,N
53,المنتج منتاز جداً وسهل الاستخدام ومتعدد الوظائف,P
54,صغير جدا وسعاره غالي لا يتطبق اسعار مع فاتورة التوصيل,N
55,لاينفع بريال,N
56,ضحك على المشتري,N
57,سهلة الاستعمال و تفي بل غرض، شكراً,P
58,جميل ومناسب جدا لكل الأغراض وسرعة جباره في الشحن,P
59,جهاز مميز وخامة ممتازة اصلي طبعاً ويغنيك كثير عن الاجهزة الثانية,P
60,آلة عصر رائعة جدا وسريعة صوتها منخفض وقوية في عصرها انصح بها وبشدة لصغر حجمها وجمال شكلها وقوة عصرها,P
61,روعه ، حجم الكاس صغير حق كوبين,P
62,ممتازة ولها قاعدة ربل تثبت على الطاولة عشان ماتتحرك مع العصر وتنظيفها سهل,P
63,"رائعة جداً, قوية و سريعة وسهلة التنظيف. فقط وعاء التفريغ صغير نسبياً",P
64,جهاز ممتاز وسهل ويجعل عمل العصير سهل وممتع ويجعلك تستهلك الفواكة بشكل اكبر,P
65,نجمه واحده شكله الخارجي جميل مع صغر حجمه سريع في العصر لاكن سلبياته ان العصير لا يكون صافيا بل به قطع,N
66,لاتستخلص لاعصير كما ينبغي على الصانع والبائع ازالة هذة الخردة قبل فوات الاوان,N
67,المنتج سيئ جدا ولا يصلح,N
68,غنية عن التعريف .. مقلاة صحية جدا جدا واكلها لذيذ,P
69,التجربة جيدة. لكن ينقص المنتج ورقة الضمان,P
70,الجهاز لم يكن جديد. البائع غير صالح التعامل معه,N
71,تهبل تستاهل كل ريال فيها وسهلة التنظيف البطاطس المجمد يطلع فيها طري ومقرمش انصح بشرائها,P
72,عمليه وجيده وشركة فيلبس غنيه عن التعريف,P
73,اكثر من رائعهالطعام فيها لذيذ وصحي وانصح بشرائها وفلبس نوعيه ممتازه وماركه معروفه,P
74,منتج ممتاز,P
75,جيدة انصحكم بهالمنتج خصوصا ان يسوي الاكل وكل شي بدون زيت ويشوي عدل لين مايطلع كل الدهن اللي بالاكل,P
76,منتج صحي,P
77,ممتازه للبطاطس بالذات و تاخذ كميه كبيره جدا و سهله التنظيف شي خورافي صراحه اختراع بطل و تستاهل كل ريال فيها و شكراا لسوق كوم افضل تسوق عبر الانترنت على الاطلاق دقه و سرعه رهيبه,P
78,دخول اليد في جسم القلاية مش بيقفل كويس و طالع منووو بار لبره و مش ظريف تحس في حاجه في جودة التقفيل مش طبيعية !,N
79,تستاهل كل ريال فيها مره حلوه والتوصيل سرييع جداً,P
80,ممتازة جدا جدا وتم شراءها بالكود ب ٥٩٨ ريال,P
81,لا أنصح بها البتة، عندما استخدمتها أول مرة، انبعث منها رائحة سيئة، وعملت جيدا، وبعد استخدامها تقريبا ست مرات، وفي ستة أيام، استخدمتها المرة السابعة، وإذا بالدخان ينبعث منها وتوقفت معلنة عن وفاتها!! لابارك الله فيه من منتج سيء، وللأسف سعرها فوق الـ100 ريال، والسلام,N
82,ولكن لايوجد ضمان ولايوجد فيها صوت ليش,N
83,وايد عجبني خاصه يوم طحن الهيل والفلفل الاسود وسهل الاستخدام ممتاز وانصح به شكرا ع التوصيل المجاني السريع,P
84,انصح بهذا المنتج,P
85,روووعه شهله ومريحة وصحيه احبهاا اسوي فيها كل شي تقريبا,P
86,الجهاز مررره جميل يستاهل كل ريال فيه مره جميل استخدام سهل وحلو ونتيجه سرريعه مرره من ثاني جلسه بتلاحظين,P
87,ما انصح احد يشتريه سيء بسرعه تخلص بطاريته مايمديك تسوين جسمك يبي لك بطارية كامله فقط عشان تسوين ذراعينك ويقعد بالشاحن من ساعتين ونص الى ثلاث,N
88,غير راضى اشتريت جهاز و لم استفد به لابد أن يوجد شاحن اخر لتشغيل وحدة التعقيم ليس من الجيد دفع قيمة مرتفعة فى جهاز لا استعمله,N
89,مافيه لغه عربيه,N
90,لا يستحق الشراء,N
91,مالهاش أى لازمة,N
92,سعره بسيط وامكانياته تتناسب مع السعر,P
93,تشعر بالفخامة,P
94,منتج ذو جودة عالية.. ونعومة فالملمس,P
95,إمكانيات الموبايل لا تستحق هذا السعر,N
96,البطاريه بسرعه تفضى,N
97,فوق الممتاز بنسبه لسعرة,P
98,جيد بالنسبه لسعر,P
99,انصح بشراء المنتج يوجد فيه الكثير من الميزات بالإضافة إلى سعرة تعتبر شيء ايجابي وان كان الصوت غير مرتفع جدا لكنه مقبووول,P
100,شيء خرافي ابداع جديد من سامسونج,P
101,بائع موثوق والمنتج أصلي ١٠٠٪,P
102,اكثر من ممتاز ويتفوق على اى موبايل اخر وامكانيات لا يتخيلها الا من يمتلك هذا الموبايل,P
103,جهاز خارررررق,P
104,جميل جدا جدا,P
105,منتج وخدمه وتوصيل كله ممتاز بصراحه,P
106,انصح بشدة بشراء الجهاز,P
107,اخذته بالعرض وسعر ممتاز,P
108,منتج كما جاء في الوصف المنتج اصلي وجيد والتوصيل وتأكيد الطلب سريع جدا عجبني المصداقية والسرعة حبيت المنتج وانصح به بشده,P
109,جيد جيدا تسليم تاني يوم وتغليف محترم شكرا سوق,P
110,من افضل الجوالات 2019,P
111,تجنننننن انصحكم فيها مرا حلوااا وعمليه شكلها فخممم,P
112, استخدم الجهاز من فترة صراحة بطارية رهيبة وشاشة مريحة جدا وتصميم مذهل والكاميرا تؤدي الغرض ,P
113,جهاز ممتاز وشاشه واستخدام روعه وشكل جذاب وفخامه,P
114,اطلق جوال سامسونج تصويره رهيب,P
115,ممتاز وامكانيات جباره ,P
116,رائع جدا جدا جدا من صدق ما تراه في يد غيرك من الناس اللي كل شي في حياتي ما نتمنى أن تسقط في مكانٍ ,P
117,بطيئ وغير عملي,N
118,جهاز خفيف ولستخدام بسيط وبسعر معقول وغير ان يجيك معاه المايكرو سوفت مجانا لمدة سنة انصح فيه,P
119,جهاز كمبيوتر محمول رائع وأنيق وخفيف الوزن بشكل عام و شاشة ممتازة,P
120,اداء جميل لفئته وبسعر رخيص ويلبي احتياجات المستخدم في التصفح,P
121,خفيف وانيق,P
122,"جهاز جميل وخفيف الوزن ومتحول, يستحق الشراء",P
123,الاصلي و جا معه شهاده الضمان من الوكيل,P
124,فنااااان,P
125,اصلي واقل سعراً من السوق المحلي,P
126,وصلني بوقت سريع جدا ممتاز ورائع,P
127,محترم جدا,P
128,وصل والجهاز مضبوط والتوصيل سريع شكراً لكم,P
129,رائع وتم أستلام الشحنه خلال يومين فقط,P
130,منتج اصلي بس تاخر التوصيل,P
131,لانه جميل,P
132,مفيد لشغل الجامعة، بطارية تدوم 6 ساعات,P
133,جهاز جيد للانترنت والافيس,P
134,جيد بالنظر الى السعر,P
135,نظام الجهاز سيئ جدا,N
136,خفيف جدا بالنسبه لحجمه,P
137,مقارنة بالعسر يعتبر صفقه ممتازة جدا مع هذه المواصفات,P
138,جهاز ممتاز للاستخدام اليومي وعملي جدا ويأتي بلون مميز مختلف عن منافسيه,P
139,اشتريت هذا للكلية واستخدم هذا في الفصل وفي المنزل على مكتبي. رقيقة جدا وخفيفة الوزن! إنه رائع للمدرسة لأنه لا يضيف إلى الوزن في حقيبتي,P
140,اذا كنت محتاج جهاز سريع وبسعر رخيص انصحك بهذا الجهاز ارخص اس اس دي بالسوق وجدا عملي,P
141,جهاز عملي وشاشه واسعه ١٥ وبسعر منافس انصح فيه وبشده,P
142,شريته وقت العرض بسعر مغري لابتوب جميل راضي تماما,P
143,"جهاز رائع وخفيف وسهل التنقل في كل المكان والاستعمال , جهاز متحول كجهاز كمبيوتر او تابليت وسهل التحكم باللمس",P
144,رهيب,P
145,حلو مناسب للجامعه,P
146,جهاز مناسب للاستعمالات الاساسيه وتصفح الانترنت وادخال البيانات,P
147,الجهاز جميل لكن النسخة تحميلها بطي وتقيل ليس أصلية. بدون ماوس أو سماعه شكرا .سوق,P
148,بالنسبه لي كان اقل من المتوقع,N
149,جهاز للاعمال بسعر منافس واداء ممتاز لجميع الاعمال,P
150,جهاز رائع وشكل جميل وانيق وحواف الشاشه جيده وصغيره,P
151,جودة الجهاز ممتازة,P
152,"جهاز مميز بفكره مميزه ورائعه الشاشه الاضافيه لترتقي لمستوى انتاجيه اخر , بالاضافه لبطاريه ممتازه واداء رائع",P
153,جهاز جدا فخم وجميل وفكره الماوس مع شاشه اضافيه تعطيك استخدام متعدد اضافيه ورائعه,P
154,شاشة سوداء يحتاج ويندوز وتعريفات,N
155,فيها سواد والالوان غير ممتازة,N
156,جودة الصورة ليست ممتازه والوضوح ليس ممتاز,N
157,أكثر من رائع,P
158,سرعة في التوصيل ومطابق للمعروض بسعر ممتاز,P
159,نعم انصح بشراء,P
160,اعجبني انصح به شاشه ذكيه,P
161,الشاشة منتازه وكان عليها عرض فترة شرائي لها,P
162,سعره بمتناول الجميع خصوصاً بعد الخصم,P
163,ماشاء الله تبارك الله انا ماتوقعت انها الشاشة تكون ممتازة لهذه الدرجة مع انها رخيصة و الجودة ماشاء الله فل اتش دي واي فاي تطبيق يوتيوب ولا احلى منه والنظام اندويد ومايعلق بصراحه يستاهل ١٠ نجوم والالوان واضحة ١٠٠٪,P
164,لم يكن بنفس المواصفات الموجودة,N
165,جودة منخفضه لا يدعم جهاز بي أوت كيو,N
166,الاستجابه جدا بطيئة,N
167,تجننننن صراحة من جد شاشة ذكية,P
168,الجهز لا يعمل بعد 20 يوما بعد الاستعمال,N
169,بصراحة انني مستمتع بها جداً حجمها ونحافة سماكتها وسهولة برمجتها كونها بها اللغة العربية ولا تحتاج اي مجهود فط وصلها ب رسيفر HD وشاهد الفرق . وانصح بأقتنائها,P
170,سلعه ممتازه جداً,P
171,ممتازه جدا وسرعه في التوصيل,P
172,الحجم المناسب والدقة,P
173,ممتاز جدا اوصي به سعر رائع وسرعه في التوصيل,P
174, جودة ردييييئة جداً من ناحية الالوان للاسف صُدمت من الشاشة جودة اسوء من سيئة لو رجع فيني الزمن ما شريته ,N
175,ماشاء الله سرعة في التوصيل و مطابق للمواصفات,P
176,المنتج ليس متقنا مثلا مساميره من الخلف للتثبيت سرعان ماتنخزق للداخل مع الربط,N
177,جميل شكرا سوق كوم,P
178,جودة فوق فوق الممتاز وتوصيل تاني يوم وانصح به,P
179,تمام التمام,P
180,جميل جدا ماشاء الله انصح بيه,P
181,هو الافضل في فئته السعرية,P
182,ممتازة صوره رائعه,P
183,الصوره روعه الشاشة ممتازة وكمان السعر منافس,P
184,جودة الصورة ودرجة الالوان جدا سيئة ، لا انصح به ابدا . مخيب للامل,N
185,الجودة ممتازة مقابل السعر المنخفض,P
186,مناسب الجودة مع القيمة,P
187,ممتازه,P
188,جيد جدا روعه,P
189,مرررررررره نايس,P
190,جهاز في غاية الروعة والجمال,P
191,هو عامة ممتاز بالنسبة لسعره,P
192,التابلت ما شاء الله جميل جدا و عملي جدا جدا,P
193,مفيش فيه سماعات و صعب اتكلم منه مباشرة,N
194,الجهاز جيد لا بأس به لكن يعيبه ضعف الكاميرا وعدم وجود سماعات مرفقة بالجهاز، وكان يمكن ان يأتى مع الجهاز هدايا بسيطة مثل جراب بسيط ولاصقة حافظة للشاشة,N
195,نال الرضى لمستخدم عادي,P
196,جهاز فعلا ممتاز,P
197,تابلت رائع والخدمه والتوصيل ممتاز,P
198,جميله جدا وعاوز منها تاني,P
200,ممتاز، أفضل تابلت في السوق المصري حاليًا,P
201,زبالةاسوء تابلت شفته في حياتي معايا من ٤ شهور و السيستم واخد المساحه كلها و البطارية هبااب و غالي جدا لا انصح به ابدا,N
202,جيد للاستخدام الشخصي,P
203,جهاز ممتاز وسعره رخيص اداء متميز والوان جذابة,P
204,منتج رائع جدا اشكر البائع واشكر هواوى وسوق على سرعة التوصيل تغليف ممتاز بس لو كان مع التابلت جراب سيلكون كان هيبقى حاجة ممتازة,P
205,تاتش بطئ سلحفه,N
206,واومشالله يجنن وعليه ضمان سنتين رائع جداجدا.حبيتو مره من لون من شكل في قمة الروعه,P
207,متواضع لكن سعر رائع,P
208,جميل ورائع ومناسب وعملي وانيق,P
209,جيد جدا والتسليم قبل الميعاد,P
210,غالي نوعا ما,N
211,بشكركم على الالتزام بالميعاد والتعامل المحترم والمنتج امكانياته بالظبط زى اللى كان مكتوب بالعرض,P
212,سعره عالي وحاجته غاليه ومش موجوده,N
213,من أفضل الاجهزه اللوحيه مقارنه بالسعر والإمكانيات انصح به جدا,P
214,سرعة التوصيل قبل الموعد ونفس المواصفات المذكورة وهو رائع جدا من تجربة شخصية,P
215,بعد استخدامي لمدة شهرين.. ممتاز جدا واداءه رائع,P
216,مضبوط,P
217,التسليم سريع والمنتج اصلى وخدمة متميزة شكرا سوق,P
218,جهاز روعة وشاشة كبيرة وسريع وسهل الاستخدام والعيب اللى فية ان الكاميرا ضعيفة,P
219,السلعة جيدة ولكن انوه لخالص شكري و تقديري لموقع سوق كوم خاصة ولشركة امازون عامة لحسن اختيارهم للسلع والمنتجات من حيث الجودة وكذلك لحسن اختيار التجار المشتركين على موقعهم ودائما في ازدهار,P
220,المنتج ممتاز والشحن سريع جدا,P
221,ممتاز و سرعه توصيل هايله,P
222,توصيل سريع .. منتج رائع,P
223,جهاز لوحي جميل للأطفال و لمن يحتاجون إلى الاستخدام البسيط للجميع,P
224,جيد لاستخدام الاطفال المحدود,P
225,ممتاز للأطفال فقط,P
226,المظهر الخارجى جيد والجهاز مناسب كما فى الوصف,P
227,راضي جدآ عن جوده المنتج متشكر جدا,P
228,الجهاز بطئ مع جميع التطبيقات,N
229,ثقيل و التطبيقات تتوقف باستمرار سئ جدا ولا انصح بانتقاؤه ,N
230,لا انصح به جودة سيئة مع الاسف,N
231,بطيييء,N
232,منتج غير جيد,N
233,بطي والتاتش وحش,N
234,خامه ممتازه وصوت عالى نقى واداء جيد جدا ولكن اضيف ان الكاميرتين نفس ال 2 ميجا وليست الخلفيه 5,P
235,تصميم رائح سريع وتم الاستلام قبل الموعد المحدد,P
236,ممتاز وسريع في الاداء وشكل مميز وجذاب وامكانيات كويسه,P
237,جودة سيئة,P
238,هذا المنتج قيم جدا,P
239,جهاز محترم وبضمان وبائع محترم جدا انا بحب اتعامل معاه كتيير لمصداقيته ..سوق دوت كوم موقع فوق المحترم شكرا لكل العاملين,P
240,بطيء جدًا وجودة الشاشة رديئة جدًا ولا يصلح لأي شيء تقريبًا,N
241,بطيء جدا جدا جدا,N
242,سئ جدا,N
243,الجوده سيىه الجهاز تقيل جدا,N
244,بطئ نظرا لصغر مساحة الرام,N
245,التابلت بيهنج وبطيىء جدا,N
246,بطئ جدا ، وغير. واضح الألوان,N
247,سىء جدا كليا ما عدا الشكل بطىء جدا ضعيف التنقل بين التطبيقات بيهنج باستمرار,N
248,فيها سواد والالوان غير ممتازة,N
249,جودة الصورة ليست ممتازه والوضوح ليس ممتاز,N
250,أكثر من رائع,P
251,كبيره ماشاءالله وكبيره و حلوه كل شي حلو شكرا لكم,P
252,انصح به السعر مناسب لحجم كبير,P
253,زمن قياسي في التوصيل في حالة ممتازة,P
254,كويس للعزوبيه,P
255,يجنن,P
256,منتج بالنسبة السعر سلعة جيدة جدا,P
257,ممتازة من ناحية السعر والجودة بالنسبة لمواصفاتها,P
258,صناعه ممتازه وسعر كويس وتوصيل سريع,P
259,قلبييييييييييييييييييييييييييييييييي,P
260,يعتبر جيد جدا مقارنة بالسعر,P
261,دقه في الصوره,P
262,فخمين,P
263,مناسبه لسعرها,P
264,حلو على سعره,P
265,حقيقة رائع ونقي في درجة الوانه,P
266,جودة سيئة,N
267,راضي تمام,P
268,منتج ممتاز جدا وشكرا لتعاونكم معنا,P
269,جودة سيئة للغاية,P
270,جيده مناسبه لغرفه الاطفال وتتحمل الضربات وحجمها مناسب بالنسبه للسعر,P
271,للامانه جيده جدا وانصح بها,P
272,سليمة خالية من العيوب ممتاز وكفى ممتاااااز,P
273,زمن قياسي في التوصيل في حالة ممتازة,P
274,جمييل وسريع وتصويره اروع,P
275,سرييع,P
276,المنتج الاصلى بالفاتورة ، التوصيل قبل الميعاد بيومين كاملين . خدمة متميزة. شكراً,P
277,جودة ممتازه (حسب اول استخدام) سلك الشاحن متوفر تغليف وكاله التوصيل تم قبل الموعد المحدد بشكل عام رائع,P
278,التخفيض مره كويس واليد جدها سلسه في اللعب خصوصاً كود,P
279,جوده التصنيع سيئه,N
280,جهاز قوي مشاء اللله والله أفضل كونسل بالتاريخ ليس تطبيل بل اعتراف وأنصحكم بشده لا يفوتكم تجربته,P
281,لا انصح به.,N
282,ججميل وسرعة بالتوصيل المشكلة كانت بالتغليف فقط شكراً لكم,P
283,انصحكم بشرائه لانه باختصار افضل كونسل شفته اقارنه بالبي سي,P
284,ميه ميه توصيل محترم تغليف ممتاز.. توصيل ف الموعد,P
285,انصح بها وسعرها حلوة وجودة عالية وتوصيل سريع,P
286,راض تماما,P
287,المنتج اصلي ورائع والسعر اروع ومشكووور على المصداقية,P
288,رائع جدا وزوجتي اتبسطت منه جدا,P
289,ممتاز وانصح بشراؤه خاماته ممتازه جداا مصنوع من الاستانلس ستيل والبلاستيك المقوي تحفه بجد شكرااا سوق وسرعه في التوصيل,P
290,منتج جيد وخامه جيده وسعر مقبول. شكرا سوق كوم,P
291,سهل الاستخدام,P
292,من أحسن الاجهزة,P
293,حلو جدا والماتريال والجوده تحفه,P
294,عملى لعصر البرتقال وسرعه مناسبة وسهل التنظيف وصوت منخفض ويعيبة عدم الثبات وعدم وجود دورق خارجي لتلقى العصير الخارج,P
295,سهل الاستخدام والتنظيف والجوده ممتازه,P
296,اصليه وعمليه وضائف عديده دائما انصح الزملاء بشراءها,P
297,السلعة جيدة ولكن بلد المنشأ المجر. وليس المانيا,P
298,جهاز غني عن التعريف .. رائع بالخيارات الكثيرة المتاحة فيه,P
299,ممتازه ماشاء الله,P
300,ممتازة عملية أرخص من اشهر محل لبيع الإلكترونيات بالغربية,P
301,صناعه الماني ممتازه ومنتج جميل جدا,P
302,رائع سهل الاستعمال و خاصة اداة العجن,P
303,خامات المنتج غير جيدة و الإستانلس يصدأ بسهولة و عند وضع الشفرة داخل الحوض - الدورق - الكبير وقع داخل الحوض بجانب المكان المخصص بطريق الخطأ و عند محاولة إخراجه كسر الحوض بمنتهي السهولة.,N
304,جيده عمليه ومفيده ماركه عالميه انصح بها فى كل منزل وبضمان بي تك ووصول قبل الموعد المحدد شكرا سوق كوم,P
305,السعر مرتفع عن السوق,N
306,أرخص سعر على الاطلاق شكرا تاجر صادق وسريع وقطعة جيدة جدا لا زم تكون بكل بيت,P
307,ممتاز ماشاءلله تبارك الله,P
308,سرعة في التوصيل وتغليف جيد والجهاز تمام,P
309,سهل وجميل,P
310,السعر مناسب و ماركة مثل ال جي معروفة بالجودة,P
311,جميل و عملي و حجم مناسب,P
312,انصح به وبشده,P
313,المنتج جيد جدا و سهل الاستخدام,P
314,جميل وخفيف الوزن وانسيابي في الحركة يعيبه صوته نوعا ما,P
315,اشكر موقعكم وعلى حسن المعاملة والتوصيل في اسرع وقت,P
316,ممتاااااااز جدا وسعر رائع,P
317,ممتاز جداً نسبة إلى سعره,P
318,وربي جميل مانحرم,P
319,رائع وشكله انيق ، له سنه عندي وكأنه جديد لسه ,P
320,جميل جدا وسعر مختلف عن الاسواق (سعر مميز) ,P
321,ممتاز وعنده خصية تبريد اذا خلصت محمي جدا جميل,P
322,ممتاز وجميل ومساحة لابأس به,P
323,منتج جيد سهل الاستخدام نصحني به اصدقائي المقربين وبالفعل لمست مصداقية النصيحة وانصح الآخرين به شكرا لشركة LG شكرا لسوق كوم,P
324,ممتاز - عملي - سها الإستخدام - سرعة توصيل قياسية,P
325,منتج ممتاااااز انصح به,P
326,سلعة ممتازة من حيث الجودة والقيمة,P
327,منتج جيد من حيث الخامة والأداء وعملي إلي حد كبير كما نشكر فريق عمل سوق كوم علي الجدية والالتزام بالموعد المحدد ومطابقة المنتج للمواصفات وهو,P
328,لايوجد به صوت وحجمه كبير وواسع جدا وسعره راااااائع اشتريته بالعرض بسعر خيالي انصح به,P
329,سعرها مرا حلو بالنسبه لحجمها الكبير فيها مزايا حلوه زي انها مررررررا هادية وتطلع صوت تنبيه اذا لم يتم اغلاقها جيدا معاها مفتاح والاناره فيها حلوة,P
330,حديث وعليه ضمان من وكيل الشركه الام,P
331,جمييييل وصل قبل الموعد,P
332,رائع تبارك الله وجزاكم الله خيرا سوق كوم وجاتني مع هدية قسيمة بمبلغ,P
333,"ممتاز و عملي و يحتوي على أزرار لوجبات محددة مثلا: فشار , طبق العشاء و أيضاً تشغيل سريع لمدة 30 ثانية",P
334,سعر ممتاز و جودة عالية,P
335,حجمه مناسب للمطابخ الصغيرة، استخدمه للتسخين فقط لذا أراه مناسب جدا في سرعة التسخين وقوة الحرارة يعيبه عدم وجود تحكم بالثواني فقط ٣٠ ثانية فاعلى,P
336,منتج جميل جدا ونفس الطلب,P
337,جيد ويفي بالغرض,P
338,شغله سريع وجدا عملي حجمه مرا جميل,P
339,راىع جدا ويفي بالغرض شكرا سوق,P
340,مثل الوصف تمام وتوصيل سريع شكرا,P
341,ممتاز وسعره مناسب وعملي,P
342,رائع جدا جدا شكرا سوق شركة ميديا شركه ممتازه,P
343,هناك بعض الخدمات لم أستطيع اكتشافها بسبب عدم وجود دليل للاستعمال,N
344,الجهاز بطل والله ... وأداء مثالي,P
345, لا انصح به ضعيف جدا ,N
346,جهاز سئ مره,N
347,انصح به حراره عاليه ومتوسطه شكل انيق وشركه معروفه وسعره اقل من الاماكن الاخرى,P
348,يوجد خدوش على السطح الخارجي,N
349,تحفة وأكثر من رائع في السرعة والاداء,P
350,ممتاز جدا لاتوجد ملاحظات,P
351,ممتاز جدا مقارنة بسعره لكن يعيبه صغر حجمه نوعا ما شكرا جزيلا,P
352,تعامل ممتاز من المندوب,P
353,عادي بس اهم شي يقوم بعمل المطلوب,P
354,فخم ومتين وسريع وهو إضافة رائعة للمطبخ,P
355,لا يحتاج لتقييم المنتج خيالي وصحي,P
356,ممتازه وكما في الوصف,P
357,منتج راقى,P
358,المشكلة الوحيدة القفل التلقائي للتسخين,N
359,منتج أصلى من براون ممتازة,P
360,من أفضل العصارات الحديثه,P
361,عصارة بمنتهى الروعة,P
362,تم الاسترداد ولا احصل ع المبلغ ارجو التواصل,N
363,هذا الموديل سيء بشكل عام لا انصح فيه,N
364,انصح باقتنائه في كل منزل وتعامل البائع جدا ممتاز وتغليف السلعه رائع ووصلت بوقت قياسي جزاكم الله كل خير,P
365,ممتازة سهلة التنظيف قوية,P
366,انصح بشرائة لعشاق العصائر الطبيعية وخاصة للتحضير للاطفال صحى جدا منتج قوى الماتور من شركة براون وسهل التركيب والفك والتنظيف,P
367,لازم لكل بيت,P
368,منتج رائع يغني عن جميع الاجهزة الاخرى,P
369,العصاره متوسطه الاداء عكس ما كنت متوقع تقوم باهدار كبير للفواكه,N
370,التغليف جدا سيء و المنتج وصل كلو غبار,N
372,انصح بها قوية وسهلة التنظيف...افضل الاسعار وخدمه ممتازه من hala-trade,P
373,منتج معروف من مولينكس لعصر البرتقال بحسب الوصف والسعر مناسب والتوصيل سريع,P
374,لم تكن المرفقات مثل الصورة,N
375,رائحته جدااااا جميله ومميزه وتدوم صراحه أنصحكم فيه ,P
376,رائحة جميلة و كمية مناسبة للسعر و جودة عالية,P
377,يجنننن ريحته كانه كذا كريمه خفق ع نظافه مادري ريحه تسطل قسم بالله ماتوقعت كذا,P
378,جنااااااااااااااااااان بجد ياخذ العقل,P
379,رووعه اذا مسك على الجسم الريحه تقتل,P
380,العطرجدا مميز و جميل ، ريحته ع بودرة ع مسك او بخور و لمسة عسل بس يبرد يصير باودري حلو و بخور بخور بخوووور ، و فوااااااااح حيييييييل انصح فيه بقوة,P
381,ثبات يظل لساعات ,P
382,يجنننن يجنننن يجنننن حرفييياً,P
383,عطر يجننن مرره وثقيل وريحته ثابته,P
384,العطر رهيب وفخمم وثابت جميللل,P
385,مركز مرره والريحه تجنن للي يحبون العود وثابت ماشاءالله بخه وحده تكفي وسعرها يستاهل,P
386,رررروعه بلا مناااازع روعه وكياته وجمااااااااال,P
387,روووعهه وجمممممميل امس وصلني وثاااابت وريحةةةة تجنننن لايفوتكم,P
